panel	source_file	record_type	day	gene_symbol	afl_paired_hedges_g	nafl_paired_hedges_g	afl_abs_effect	nafl_abs_effect	same_direction	genes	standardized_spearman_rho	bootstrap_ci95_low	bootstrap_ci95_high	bootstrap_replicates_valid	sign_concordance_all	top_half_genes	sign_concordance_top_half	median_abs_effect_afl	median_abs_effect_nafl	gene_label_permutations	empirical_one_sided_p	null_percentile	test_id	source_direction	source_tail	selected_genes	target_rank_orientation	ES	NES	raw_p	gsea_permutations	expected_direction	direction_correct	BH_q	supported
A-C	03_results/phase2b/GENOMEWIDE_EFFECTS_SHARED_UNIVERSE.tsv	gene_effect	14	CDK14	0.674606710798003	0.573634240876646	0.674606710798003	0.573634240876646	True																										
A-C	03_results/phase2b/GENOMEWIDE_EFFECTS_SHARED_UNIVERSE.tsv	gene_effect	14	CDK15	-0.106756459384973	-0.0356798565562733	0.106756459384973	0.0356798565562733	True																										
A-C	03_results/phase2b/GENOMEWIDE_EFFECTS_SHARED_UNIVERSE.tsv	gene_effect	14	CDK16	-0.31475884560845	-0.176215931200358	0.31475884560845	0.176215931200358	True																										
A-C	03_results/phase2b/GENOMEWIDE_EFFECTS_SHARED_UNIVERSE.tsv	gene_effect	14	CDK17	0.299763146177866	-0.209358986550923	0.299763146177866	0.209358986550923	False																										
A-C	03_results/phase2b/GENOMEWIDE_EFFECTS_SHARED_UNIVERSE.tsv	gene_effect	14	CDK18	0.152624746337312	0.0460663141160778	0.152624746337312	0.0460663141160778	True																										
A-C	03_results/phase2b/GENOMEWIDE_EFFECTS_SHARED_UNIVERSE.tsv	gene_effect	14	CDK19	0.566118654716151	-0.160681186649391	0.566118654716151	0.160681186649391	False																										
A-C	03_results/phase2b/GENOMEWIDE_EFFECTS_SHARED_UNIVERSE.tsv	gene_effect	14	CDK2	-0.394430095542405	-0.100626584662637	0.394430095542405	0.100626584662637	True																										
A-C	03_results/phase2b/GENOMEWIDE_EFFECTS_SHARED_UNIVERSE.tsv	gene_effect	14	CDK20	-0.364016509650313	-0.93100293408047	0.364016509650313	0.93100293408047	True																										
A-C	03_results/phase2b/GENOMEWIDE_EFFECTS_SHARED_UNIVERSE.tsv	gene_effect	14	CDK2AP1	1.09241777587125	0.323863817252857	1.09241777587125	0.323863817252857	True																										
A-C	03_results/phase2b/GENOMEWIDE_EFFECTS_SHARED_UNIVERSE.tsv	gene_effect	14	CDK2AP2	0.0067741265935432	0.18004492469865	0.0067741265935432	0.18004492469865	True																										
