panel	source_file	record_type	dataset	program	day	n_participants	model_effect	model_se	model_ci95_low	model_ci95_high	model_t	model_df	model_p	paired_mean_change	paired_sd	paired_hedges_g	exact_signflip_p	lopo_direction_fraction	direction	primary_timepoint	model_BH_q	standardized_spearman_rho	bootstrap_ci95_low	bootstrap_ci95_high	bootstrap_replicates_valid	exact_label_permutation_p	exact_label_permutations	raw_mean_change_spearman_rho	directional_concordance
A	03_results/phase1b/participant_blocked_program_effects.tsv	program_effect	GSE168760_AFL	acute_injury	1	14.0	0.20066876214242	0.117241531112418	-0.0327411964157322	0.434078720700571	1.71158428449733	78.0	0.0909471481739359	0.20066876214242	0.577735238427462	0.326905310163499	0.2181396484375	1.0	UP	True	0.166077401013274								
A	03_results/phase1b/participant_blocked_program_effects.tsv	program_effect	GSE168760_AFL	acute_injury	7	14.0	0.0243866121278993	0.117241531112418	-0.209023346430253	0.257796570686051	0.20800318706616	78.0	0.835768636835357	0.0243866121278993	0.486627656313926	0.0471656413981822	0.8525390625	0.785714285714286	UP	True	0.882687600680485								
A	03_results/phase1b/participant_blocked_program_effects.tsv	program_effect	GSE168760_AFL	acute_injury	14	14.0	-0.0209832328844315	0.117241531112418	-0.254393191442583	0.21242672567372	-0.17897440169313	78.0	0.858421879056181	-0.0209832328844314	0.409517907559853	-0.0482248143564118	0.8572998046875	0.785714285714286	DOWN	True	0.882687600680485								
A	03_results/phase1b/participant_blocked_program_effects.tsv	program_effect	GSE168760_AFL	inflammation	1	14.0	0.49470496825696	0.0918228026511977	0.311899810748749	0.677510125765171	5.38760475582703	78.0	7.34276102621232e-07	0.49470496825696	0.373432063717283	1.24682565115525	0.0003662109375	1.0	UP	True	7.70989907752294e-06								
A	03_results/phase1b/participant_blocked_program_effects.tsv	program_effect	GSE168760_AFL	inflammation	7	14.0	0.203616010807163	0.0918228026511978	0.0208108532989517	0.386421168315375	2.21748852058707	78.0	0.0295004832705941	0.203616010807163	0.293544916222921	0.652842504896964	0.02490234375	1.0	UP	True	0.0688344609647195								
A	03_results/phase1b/participant_blocked_program_effects.tsv	program_effect	GSE168760_AFL	inflammation	14	14.0	0.231672619271032	0.0918228026511977	0.0488674617628204	0.414477776779243	2.52304016629806	78.0	0.0136686000126847	0.231672619271032	0.42152759145544	0.517272943829327	0.0439453125	1.0	UP	True	0.0404237880713614								
A	03_results/phase1b/participant_blocked_program_effects.tsv	program_effect	GSE168760_AFL	epidermal_repair	1	14.0	-0.226615480356409	0.117627094877405	-0.460793037405925	0.007562076693107	-1.92655850756661	78.0	0.0576773031965774	-0.226615480356409	0.351302168843373	-0.607127359004706	0.0325927734375	1.0	DOWN	True	0.115354606393155								
A	03_results/phase1b/participant_blocked_program_effects.tsv	program_effect	GSE168760_AFL	epidermal_repair	7	14.0	-0.177779354044611	0.117627094877405	-0.411956911094127	0.0563982030049055	-1.51138098097125	78.0	0.13473239765641	-0.17777935404461	0.443592002768975	-0.377197388453156	0.1571044921875	1.0	DOWN	True	0.217644642368047								
A	03_results/phase1b/participant_blocked_program_effects.tsv	program_effect	GSE168760_AFL	epidermal_repair	14	14.0	-0.181321453889805	0.117627094877405	-0.41549901093932	0.052856103159711	-1.54149393963002	78.0	0.127244051247441	-0.181321453889805	0.329974443310557	-0.517177888995848	0.0621337890625	1.0	DOWN	True	0.213770006095701								
A	03_results/phase1b/participant_blocked_program_effects.tsv	program_effect	GSE168760_AFL	ecm_remodeling	1	14.0	-0.0195676494522869	0.0671242357304657	-0.15320173740251	0.114066438497936	-0.291513925474845	78.0	0.771432150204915	-0.0195676494522871	0.213511661423073	-0.0862557629239695	0.730712890625	0.857142857142857	DOWN	True	0.875679738070444								
A	03_results/phase1b/participant_blocked_program_effects.tsv	program_effect	GSE168760_AFL	ecm_remodeling	7	14.0	0.152346966117434	0.0671242357304658	0.0187128781672116	0.285981054067657	2.26962682642938	78.0	0.0259920989201838	0.152346966117434	0.261519081187759	0.548278845367645	0.0472412109375	1.0	UP	True	0.0680969780972393								
A	03_results/phase1b/participant_blocked_program_effects.tsv	program_effect	GSE168760_AFL	ecm_remodeling	14	14.0	0.24918198168333	0.0671242357304657	0.115547893733107	0.382816069633552	3.71225056004971	78.0	0.0003836522692714	0.24918198168333	0.275617627845337	0.850904275928613	0.0037841796875	1.0	UP	True	0.0020141744136753								
A	03_results/phase1b/participant_blocked_program_effects.tsv	program_effect	GSE168760_AFL	collagen_organization	1	14.0	-0.0564347574230619	0.0864672099583349	-0.228577748916938	0.115708234070814	-0.652672353488167	78.0	0.515886558857911	-0.0564347574230622	0.243346122218365	-0.218269620759679	0.3951416015625	1.0	DOWN	True	0.619063870629494								
A	03_results/phase1b/participant_blocked_program_effects.tsv	program_effect	GSE168760_AFL	collagen_organization	7	14.0	0.352158181870537	0.0864672099583349	0.180015190376661	0.524301173364413	4.07273672922057	78.0	0.0001106980604398	0.352158181870536	0.360849779646954	0.918506850761989	0.0042724609375	1.0	UP	True	0.0006641883626388								
