panel	source_file	record_type	dataset	program	day	n_participants	model_effect	model_se	model_ci95_low	model_ci95_high	model_t	model_df	model_p	paired_mean_change	paired_sd	paired_hedges_g	exact_signflip_p	lopo_direction_fraction	direction	primary_timepoint	model_BH_q	participant_id	baseline_score	treated_score	difference	afl_hedges_g_1	afl_hedges_g_7	afl_hedges_g_14	nafl_hedges_g_1	nafl_hedges_g_7	nafl_hedges_g_14	afl_transition_D14_minus_D1	nafl_transition_D14_minus_D1	same_transition_direction	metric	value	analysis	variant	removed_gene	genes_used	day14_hedges_g
A	03_results/phase1b/participant_blocked_program_effects.tsv	delayed_program_effect	GSE168760_AFL	ecm_remodeling	1.0	14.0	-0.0195676494522869	0.0671242357304657	-0.15320173740251	0.114066438497936	-0.291513925474845	78.0	0.771432150204915	-0.0195676494522871	0.213511661423073	-0.0862557629239695	0.730712890625	0.857142857142857	DOWN	True	0.875679738070444																				
A	03_results/phase1b/participant_blocked_program_effects.tsv	delayed_program_effect	GSE168760_AFL	ecm_remodeling	7.0	14.0	0.152346966117434	0.0671242357304658	0.0187128781672116	0.285981054067657	2.26962682642938	78.0	0.0259920989201838	0.152346966117434	0.261519081187759	0.548278845367645	0.0472412109375	1.0	UP	True	0.0680969780972393																				
A	03_results/phase1b/participant_blocked_program_effects.tsv	delayed_program_effect	GSE168760_AFL	ecm_remodeling	14.0	14.0	0.24918198168333	0.0671242357304657	0.115547893733107	0.382816069633552	3.71225056004971	78.0	0.0003836522692714	0.24918198168333	0.275617627845337	0.850904275928613	0.0037841796875	1.0	UP	True	0.0020141744136753																				
A	03_results/phase1b/participant_blocked_program_effects.tsv	delayed_program_effect	GSE168760_AFL	collagen_organization	1.0	14.0	-0.0564347574230619	0.0864672099583349	-0.228577748916938	0.115708234070814	-0.652672353488167	78.0	0.515886558857911	-0.0564347574230622	0.243346122218365	-0.218269620759679	0.3951416015625	1.0	DOWN	True	0.619063870629494																				
A	03_results/phase1b/participant_blocked_program_effects.tsv	delayed_program_effect	GSE168760_AFL	collagen_organization	7.0	14.0	0.352158181870537	0.0864672099583349	0.180015190376661	0.524301173364413	4.07273672922057	78.0	0.0001106980604398	0.352158181870536	0.360849779646954	0.918506850761989	0.0042724609375	1.0	UP	True	0.0006641883626388																				
A	03_results/phase1b/participant_blocked_program_effects.tsv	delayed_program_effect	GSE168760_AFL	collagen_organization	14.0	14.0	0.492013266077818	0.0864672099583348	0.319870274583942	0.664156257571694	5.69017164211613	78.0	2.1273783904791e-07	0.492013266077818	0.361711466958069	1.28022291674649	0.00048828125	1.0	UP	True	2.97832974667074e-06																				
A	03_results/phase1b/participant_blocked_program_effects.tsv	delayed_program_effect	GSE168760_AFL	matrix_maturation	1.0	14.0	-0.398879354013243	0.0945431053870531	-0.587100218249412	-0.210658489777073	-4.21902107382932	78.0	6.5637436371925e-05	-0.398879354013243	0.386293981937939	-0.97183979081769	0.0029296875	1.0	DOWN	True	0.0004594620546034																				
A	03_results/phase1b/participant_blocked_program_effects.tsv	delayed_program_effect	GSE168760_AFL	matrix_maturation	7.0	14.0	0.0652960472608162	0.0945431053870531	-0.122924816975353	0.253516911496986	0.690648429554948	78.0	0.491836676571622	0.0652960472608157	0.43115288388809	0.142536686175219	0.5804443359375	0.928571428571429	UP	True	0.607562953412004																				
A	03_results/phase1b/participant_blocked_program_effects.tsv	delayed_program_effect	GSE168760_AFL	matrix_maturation	14.0	14.0	0.188694278215838	0.094543105387053	0.0004734139796688	0.376915142452007	1.99585445647609	78.0	0.049440492298049	0.188694278215838	0.367375458666675	0.483414475849655	0.0616455078125	1.0	UP	True	0.103825033825903																				
A	03_results/phase1b/participant_blocked_program_effects.tsv	delayed_program_effect	GSE206495_NAFL_FOREARM	ecm_remodeling	1.0	17.0	-0.156042699292802	0.0610363768339544	-0.278764560034601	-0.033320838551003	-2.55655245915573	48.0	0.0137899929915931	-0.156042699292802	0.268773613879836	-0.552926652357382	0.0299224853515625	1.0	DOWN	True	0.0289589852823454																				
A	03_results/phase1b/participant_blocked_program_effects.tsv	delayed_program_effect	GSE206495_NAFL_FOREARM	ecm_remodeling	7.0	17.0	0.0753245923854303	0.0610363768339544	-0.0473972683563689	0.198046453127229	1.2340934421836	48.0	0.223176343018454	0.0753245923854302	0.160422255439502	0.447180516426517	0.0710601806640625	1.0	UP	True	0.29291895021172																				
A	03_results/phase1b/participant_blocked_program_effects.tsv	delayed_program_effect	GSE206495_NAFL_FOREARM	ecm_remodeling	14.0	17.0	0.18942938419928	0.0610363768339543	0.066707523457481	0.312151244941079	3.10354896580134	48.0	0.0032021658397175	0.18942938419928	0.210993021885786	0.855046938141425	0.0017547607421875	1.0	UP	True	0.0096064975191525																				
A	03_results/phase1b/participant_blocked_program_effects.tsv	delayed_program_effect	GSE206495_NAFL_FOREARM	collagen_organization	1.0	17.0	-0.128969010393382	0.0917828875831689	-0.313510874323219	0.0555728535364546	-1.40515311502395	48.0	0.166415015655926	-0.128969010393382	0.394595530846034	-0.311274759454901	0.196426391601563	1.0	DOWN	True	0.232981021918297																				
A	03_results/phase1b/participant_blocked_program_effects.tsv	delayed_program_effect	GSE206495_NAFL_FOREARM	collagen_organization	7.0	17.0	0.202329838917256	0.0917828875831689	0.017787974987419	0.386871702847093	2.2044396754669	48.0	0.0323204068868511	0.202329838917256	0.237472136451726	0.811442923630209	0.00335693359375	1.0	UP	True	0.0565607120519895																				
A	03_results/phase1b/participant_blocked_program_effects.tsv	delayed_program_effect	GSE206495_NAFL_FOREARM	collagen_organization	14.0	17.0	0.37182144480449	0.0917828875831688	0.187279580874653	0.556363308734326	4.05109770018474	48.0	0.0001853932287578	0.37182144480449	0.324951580565752	1.08974900538115	0.0001373291015625	1.0	UP	True	0.000778651560783																				
A	03_results/phase1b/participant_blocked_program_effects.tsv	delayed_program_effect	GSE206495_NAFL_FOREARM	matrix_maturation	1.0	17.0	-0.440570704462558	0.0786810456552159	-0.598769549623154	-0.282371859301962	-5.59945156795653	48.0	1.0195601750515e-06	-0.440570704462557	0.350600224067953	-1.19677946077374	0.0001220703125	1.0	DOWN	True	7.13692122536052e-06																				
