program	gene_symbol
inflammation	IL10
inflammation	IL10RA
inflammation	IL12B
inflammation	IL15
inflammation	IL15RA
inflammation	IL18
inflammation	IL18R1
inflammation	IL18RAP
inflammation	IL1A
inflammation	IL1B
inflammation	IL1R1
inflammation	IL2RB
inflammation	IL4R
inflammation	IL6
inflammation	IL7R
inflammation	INHBA
inflammation	IRAK2
inflammation	IRF1
inflammation	IRF7
inflammation	ITGA5
inflammation	ITGB3
inflammation	ITGB8
inflammation	KCNA3
inflammation	KCNJ2
inflammation	KCNMB2
inflammation	KIF1B
inflammation	KLF6
inflammation	LAMP3
inflammation	LCK
inflammation	LCP2
inflammation	LDLR
inflammation	LIF
inflammation	LPAR1
inflammation	LTA
inflammation	LY6E
inflammation	LYN
inflammation	MARCO
inflammation	MEFV
inflammation	MEP1A
inflammation	MET
inflammation	MMP14
inflammation	MSR1
inflammation	MXD1
inflammation	MYC
inflammation	NAMPT
inflammation	NDP
inflammation	NFKB1
inflammation	NFKBIA
inflammation	NLRP3
inflammation	NMI
inflammation	NMUR1
inflammation	NOD2
inflammation	NPFFR2
inflammation	OLR1
inflammation	OPRK1
inflammation	OSM
inflammation	OSMR
inflammation	P2RX4
inflammation	P2RX7
inflammation	P2RY2
inflammation	PCDH7
inflammation	PDE4B
inflammation	PDPN
inflammation	PIK3R5
inflammation	PLAUR
inflammation	PROK2
inflammation	PSEN1
inflammation	PTAFR
inflammation	PTGER2
inflammation	PTGER4
inflammation	PTGIR
inflammation	PTPRE
inflammation	PVR
inflammation	RAF1
inflammation	RASGRP1
inflammation	RELA
inflammation	RGS1
inflammation	RGS16
inflammation	RHOG
inflammation	RIPK2
inflammation	RNF144B
inflammation	ROS1
inflammation	RTP4
inflammation	SCARF1
inflammation	SCN1B
inflammation	SELE
inflammation	SELENOS
inflammation	SELL
inflammation	SEMA4D
inflammation	SERPINE1
inflammation	SGMS2
inflammation	SLAMF1
inflammation	SLC11A2
inflammation	SLC1A2
inflammation	SLC28A2
inflammation	SLC31A1
inflammation	SLC31A2
inflammation	SLC4A4
inflammation	SLC7A1
inflammation	SLC7A2
inflammation	SPHK1
inflammation	SRI
inflammation	STAB1
inflammation	TACR1
inflammation	TACR3
inflammation	TAPBP
inflammation	TIMP1
inflammation	TLR1
inflammation	TLR2
inflammation	TLR3
inflammation	TNFAIP6
inflammation	TNFRSF1B
inflammation	TNFRSF9
inflammation	TNFSF10
inflammation	TNFSF15
inflammation	TNFSF9
inflammation	TPBG
inflammation	VIP
epidermal_repair	B4GALT1
epidermal_repair	CLDN1
epidermal_repair	FGF10
epidermal_repair	FZD7
epidermal_repair	JAML
epidermal_repair	LACRT
epidermal_repair	LRG1
epidermal_repair	MMP12
epidermal_repair	ODAM
epidermal_repair	WNT7A
ecm_remodeling	A2M
ecm_remodeling	ACAN
ecm_remodeling	ACTA1
ecm_remodeling	ACTA2
ecm_remodeling	ACTB
ecm_remodeling	ACTC1
ecm_remodeling	ACTG1
ecm_remodeling	ACTG2
ecm_remodeling	ACTN1
ecm_remodeling	ADAM10
ecm_remodeling	ADAM12
ecm_remodeling	ADAM15
ecm_remodeling	ADAM17
ecm_remodeling	ADAM19
ecm_remodeling	ADAM8
ecm_remodeling	ADAM9
ecm_remodeling	ADAMTS1
ecm_remodeling	ADAMTS14
ecm_remodeling	ADAMTS16
ecm_remodeling	ADAMTS18
ecm_remodeling	ADAMTS2
ecm_remodeling	ADAMTS3
ecm_remodeling	ADAMTS4
ecm_remodeling	ADAMTS5
ecm_remodeling	ADAMTS8
ecm_remodeling	ADAMTS9
ecm_remodeling	AGRN
ecm_remodeling	APP
ecm_remodeling	ASPN
ecm_remodeling	BCAN
ecm_remodeling	BGN
ecm_remodeling	BMP1
ecm_remodeling	BMP10
ecm_remodeling	BMP2
ecm_remodeling	BMP4
ecm_remodeling	BMP7
ecm_remodeling	BSG
ecm_remodeling	CAPN1
ecm_remodeling	CAPN10
ecm_remodeling	CAPN11
ecm_remodeling	CAPN12
ecm_remodeling	CAPN13
ecm_remodeling	CAPN14
ecm_remodeling	CAPN15
