day	genes	standardized_spearman_rho	bootstrap_ci95_low	bootstrap_ci95_high	bootstrap_replicates_valid	sign_concordance_all	top_half_genes	sign_concordance_top_half	median_abs_effect_afl	median_abs_effect_nafl	gene_label_permutations	empirical_one_sided_p	null_percentile
1	16942	0.714343496867325	0.585583155034913	0.729354415284616	5000	0.738283555660489	11048	0.840061549601738	0.585394265636974	0.573292468875268	10000	9.99900009999e-05	100
7	16942	0.505168653693006	0.279851343321452	0.48110640145626	5000	0.664089245661669	11873	0.723658721468879	0.303400547442715	0.252018803715137	10000	9.99900009999e-05	100
14	16942	0.37303116657605	0.108507752610319	0.422995122896626	5000	0.632038720339983	12384	0.673045865633075	0.297560406770711	0.224774967351433	10000	9.99900009999e-05	100
