day	program	afl_hedges_g	nafl_hedges_g	afl_mean_change	nafl_mean_change	same_direction
1	acute_injury	0.326905310163499	0.431631197018309	0.20066876214242	0.211594898708432	TRUE
1	inflammation	1.24682565115525	1.5328834233036	0.49470496825696	0.490695789987331	TRUE
1	epidermal_repair	-0.607127359004706	-0.169779173065207	-0.226615480356409	-0.0910434946899547	TRUE
1	ecm_remodeling	-0.0862557629239695	-0.552926652357382	-0.0195676494522871	-0.156042699292802	TRUE
1	collagen_organization	-0.218269620759679	-0.311274759454901	-0.0564347574230622	-0.128969010393382	TRUE
1	proliferation	1.81822041274966	1.36869410516211	0.934731979370332	0.711480280121593	TRUE
1	matrix_maturation	-0.97183979081769	-1.19677946077374	-0.398879354013243	-0.440570704462557	TRUE
7	acute_injury	0.0471656413981822	0.0521312269201656	0.0243866121278993	0.0159451377902557	TRUE
7	inflammation	0.652842504896964	0.9981138121648	0.203616010807163	0.218446614748865	TRUE
7	epidermal_repair	-0.377197388453156	-0.307899609366616	-0.17777935404461	-0.146602111866762	TRUE
7	ecm_remodeling	0.548278845367645	0.447180516426517	0.152346966117434	0.0753245923854302	TRUE
7	collagen_organization	0.918506850761989	0.811442923630209	0.352158181870536	0.202329838917256	TRUE
7	proliferation	1.40113195145542	0.645189334999607	0.351786732756809	0.245073805798764	TRUE
7	matrix_maturation	0.142536686175219	-0.0301517043157881	0.0652960472608157	-0.00652180368214094	FALSE
14	acute_injury	-0.0482248143564118	0.425769311997631	-0.0209832328844314	0.088391503345432	FALSE
14	inflammation	0.517272943829327	1.03379850826136	0.231672619271032	0.260383513607509	TRUE
14	epidermal_repair	-0.517177888995848	-0.324414675139701	-0.181321453889805	-0.111871266843608	TRUE
14	ecm_remodeling	0.850904275928613	0.855046938141425	0.24918198168333	0.18942938419928	TRUE
14	collagen_organization	1.28022291674649	1.08974900538115	0.492013266077818	0.37182144480449	TRUE
14	proliferation	0.33196806064196	-0.866647429401624	0.074418887837036	-0.21657277049582	FALSE
14	matrix_maturation	0.483414475849655	0.695063697445386	0.188694278215838	0.210999569511533	TRUE
