deleted_from	deleted_participant	day1_rho	day7_rho	day14_rho	mean_rho	min_rho	all_days_positive
GSE168760_AFL	2006	0.821428571428571	0.821428571428571	0.857142857142857	0.833333333333333	0.821428571428571	TRUE
GSE168760_AFL	2007	0.821428571428571	0.821428571428571	0.857142857142857	0.833333333333333	0.821428571428571	TRUE
GSE168760_AFL	2011	0.821428571428571	0.821428571428571	0.857142857142857	0.833333333333333	0.821428571428571	TRUE
GSE168760_AFL	2013	0.821428571428571	0.821428571428571	0.785714285714286	0.809523809523809	0.785714285714286	TRUE
GSE168760_AFL	2014	0.821428571428571	0.821428571428571	0.785714285714286	0.809523809523809	0.785714285714286	TRUE
GSE168760_AFL	2017	0.821428571428571	0.821428571428571	0.75	0.797619047619047	0.75	TRUE
GSE168760_AFL	2018	0.821428571428571	0.821428571428571	0.857142857142857	0.833333333333333	0.821428571428571	TRUE
GSE168760_AFL	2020	0.821428571428571	0.821428571428571	0.785714285714286	0.809523809523809	0.785714285714286	TRUE
GSE168760_AFL	2022	0.821428571428571	0.821428571428571	0.857142857142857	0.833333333333333	0.821428571428571	TRUE
GSE168760_AFL	2024	0.821428571428571	0.857142857142857	0.857142857142857	0.845238095238095	0.821428571428571	TRUE
GSE168760_AFL	2026	0.821428571428571	0.821428571428571	0.785714285714286	0.809523809523809	0.785714285714286	TRUE
GSE168760_AFL	2027	0.821428571428571	0.821428571428571	0.785714285714286	0.809523809523809	0.785714285714286	TRUE
GSE168760_AFL	2029	0.821428571428571	0.821428571428571	0.857142857142857	0.833333333333333	0.821428571428571	TRUE
GSE168760_AFL	2030	0.821428571428571	0.857142857142857	0.857142857142857	0.845238095238095	0.821428571428571	TRUE
GSE206495_NAFL_FOREARM	1	0.821428571428571	0.857142857142857	0.857142857142857	0.845238095238095	0.821428571428571	TRUE
GSE206495_NAFL_FOREARM	2	0.821428571428571	0.821428571428571	0.857142857142857	0.833333333333333	0.821428571428571	TRUE
GSE206495_NAFL_FOREARM	3	0.821428571428571	0.821428571428571	0.785714285714286	0.809523809523809	0.785714285714286	TRUE
GSE206495_NAFL_FOREARM	4	0.821428571428571	0.857142857142857	0.857142857142857	0.845238095238095	0.821428571428571	TRUE
GSE206495_NAFL_FOREARM	5	0.857142857142857	0.821428571428571	0.857142857142857	0.845238095238095	0.821428571428571	TRUE
GSE206495_NAFL_FOREARM	6	0.821428571428571	0.821428571428571	0.857142857142857	0.833333333333333	0.821428571428571	TRUE
GSE206495_NAFL_FOREARM	7	0.821428571428571	0.821428571428571	0.857142857142857	0.833333333333333	0.821428571428571	TRUE
GSE206495_NAFL_FOREARM	8	0.821428571428571	0.821428571428571	0.857142857142857	0.833333333333333	0.821428571428571	TRUE
GSE206495_NAFL_FOREARM	9	0.857142857142857	0.857142857142857	0.857142857142857	0.857142857142857	0.857142857142857	TRUE
GSE206495_NAFL_FOREARM	10	0.821428571428571	0.821428571428571	0.785714285714286	0.809523809523809	0.785714285714286	TRUE
GSE206495_NAFL_FOREARM	11	0.821428571428571	0.821428571428571	0.857142857142857	0.833333333333333	0.821428571428571	TRUE
GSE206495_NAFL_FOREARM	12	0.821428571428571	0.821428571428571	0.857142857142857	0.833333333333333	0.821428571428571	TRUE
GSE206495_NAFL_FOREARM	13	0.821428571428571	0.821428571428571	0.857142857142857	0.833333333333333	0.821428571428571	TRUE
GSE206495_NAFL_FOREARM	14	0.821428571428571	0.821428571428571	0.857142857142857	0.833333333333333	0.821428571428571	TRUE
GSE206495_NAFL_FOREARM	15	0.821428571428571	0.892857142857143	0.857142857142857	0.857142857142857	0.821428571428571	TRUE
GSE206495_NAFL_FOREARM	16	0.821428571428571	0.821428571428571	0.857142857142857	0.833333333333333	0.821428571428571	TRUE
GSE206495_NAFL_FOREARM	17	0.821428571428571	0.821428571428571	0.857142857142857	0.833333333333333	0.821428571428571	TRUE
