statistic	real_value	null_mean	null_q95	empirical_one_sided_p	null_percentile	permutations
mean_rho	0.833333333333333	0.482042857142857	0.797619047619048	0.0312968703129687	96.88	10000
min_rho	0.821428571428571	0.184410714285714	0.714285714285714	0.010998900109989	98.91	10000
day1_rho	0.821428571428571	0.662853571428571	0.964285714285714	0.363363663633637	63.67	10000
day7_rho	0.821428571428571	0.436257142857143	0.892857142857143	0.146485351464854	85.36	10000
day14_rho	0.857142857142857	0.347017857142857	0.857142857142857	0.0744925507449255	92.56	10000
transition_rho	0.857142857142857	0.648264285714286	0.964285714285714	0.286171382861714	71.39	10000
same_transition_programs	6	5.461	7	0.521347865213479	65.195	10000
