gene_symbol	n_entrez_per_symbol	probe_id	gene_symbol_raw	entrez_raw	platform	symbol_unique	entrez_unique	entrez_id	mapping_status	used_reliable	selected_highest_iqr_probe	used_shared_universe
HIST1H3J	1	11741809_at	HIST1H3J	8356	GPL13667	TRUE	TRUE	8356	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	TRUE
BIN1	1	11741810_x_at	BIN1	274	GPL13667	TRUE	TRUE	274	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	FALSE	TRUE
TXNDC6	1	11741811_at	TXNDC6	347736	GPL13667	TRUE	TRUE	347736	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	FALSE	FALSE
LCNL1	1	11741812_x_at	LCNL1	401562	GPL13667	TRUE	TRUE	401562	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	FALSE	TRUE
HINT1	1	11741813_s_at	HINT1	3094	GPL13667	TRUE	TRUE	3094	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	FALSE	TRUE
HINT1	1	11741814_x_at	HINT1	3094	GPL13667	TRUE	TRUE	3094	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	FALSE	TRUE
TAB3	1	11741815_a_at	TAB3	257397	GPL13667	TRUE	TRUE	257397	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	FALSE	TRUE
TAB3	1	11741816_s_at	TAB3	257397	GPL13667	TRUE	TRUE	257397	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	TRUE
SLC12A5	1	11741817_a_at	SLC12A5	57468	GPL13667	TRUE	TRUE	57468	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	FALSE	TRUE
C9orf131	1	11741818_s_at	C9orf131	138724	GPL13667	TRUE	TRUE	138724	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	TRUE
TGM1	1	11741819_a_at	TGM1	7051	GPL13667	TRUE	TRUE	7051	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	TRUE
KCNH5	1	11741820_a_at	KCNH5	27133	GPL13667	TRUE	TRUE	27133	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	TRUE
NAF1	1	11741821_a_at	NAF1	92345	GPL13667	TRUE	TRUE	92345	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	TRUE
MAGEC3	1	11741822_a_at	MAGEC3	139081	GPL13667	TRUE	TRUE	139081	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	FALSE	TRUE
NBPF7	1	11741823_at	NBPF7	343505	GPL13667	TRUE	TRUE	343505	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	TRUE
PPA2	1	11741824_x_at	PPA2	27068	GPL13667	TRUE	TRUE	27068	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	FALSE	TRUE
GBX1	1	11741825_at	GBX1	2636	GPL13667	TRUE	TRUE	2636	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	TRUE
GSTZ1	1	11741826_a_at	GSTZ1	2954	GPL13667	TRUE	TRUE	2954	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	FALSE	TRUE
GSTZ1	1	11741827_x_at	GSTZ1	2954	GPL13667	TRUE	TRUE	2954	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	TRUE
	0	11741828_x_at	OR2A1 /// OR2A42	346528 /// 402317	GPL13667	FALSE	FALSE		MISSING_OR_AMBIGUOUS_SYMBOL	FALSE	FALSE	FALSE
FAIM	1	11741829_a_at	FAIM	55179	GPL13667	TRUE	TRUE	55179	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	TRUE
RFPL4A	1	11741830_s_at	RFPL4A	342931	GPL13667	TRUE	TRUE	342931	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	FALSE
C10orf53	1	11741831_s_at	C10orf53	282966	GPL13667	TRUE	TRUE	282966	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	FALSE	TRUE
	0	11741832_a_at	SNRPN /// SNURF	6638 /// 8926	GPL13667	FALSE	FALSE		MISSING_OR_AMBIGUOUS_SYMBOL	FALSE	FALSE	FALSE
KLHL23	1	11741833_a_at	KLHL23	151230	GPL13667	TRUE	TRUE	151230	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	FALSE	FALSE
KIR2DS4	1	11741834_x_at	KIR2DS4	3809	GPL13667	TRUE	TRUE	3809	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	TRUE
PDX1	1	11741835_at	PDX1	3651	GPL13667	TRUE	TRUE	3651	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	FALSE	TRUE
IL17C	1	11741836_at	IL17C	27189	GPL13667	TRUE	TRUE	27189	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	TRUE
KRTAP9-2	1	11741837_x_at	KRTAP9-2	83899	GPL13667	TRUE	TRUE	83899	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	TRUE
NPB	1	11741838_a_at	NPB	256933	GPL13667	TRUE	TRUE	256933	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	TRUE
C20orf151	1	11741839_a_at	C20orf151	140893	GPL13667	TRUE	TRUE	140893	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	FALSE
PIWIL3	1	11741840_a_at	PIWIL3	440822	GPL13667	TRUE	TRUE	440822	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	TRUE
C10orf71	1	11741841_a_at	C10orf71	118461	GPL13667	TRUE	TRUE	118461	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	FALSE	TRUE
CST11	1	11741842_a_at	CST11	140880	GPL13667	TRUE	TRUE	140880	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	TRUE
ACRC	1	11741843_a_at	ACRC	93953	GPL13667	TRUE	TRUE	93953	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	TRUE
NPAS3	1	11741844_a_at	NPAS3	64067	GPL13667	TRUE	TRUE	64067	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	FALSE	TRUE
RXFP2	1	11741845_a_at	RXFP2	122042	GPL13667	TRUE	TRUE	122042	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	TRUE
RAPH1	1	11741846_at	RAPH1	65059	GPL13667	TRUE	TRUE	65059	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	FALSE	TRUE
C2orf83	1	11741847_a_at	C2orf83	56918	GPL13667	TRUE	TRUE	56918	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	TRUE
KRTAP9-4	1	11741848_x_at	KRTAP9-4	85280	GPL13667	TRUE	TRUE	85280	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	TRUE
KRTAP17-1	1	11741849_x_at	KRTAP17-1	83902	GPL13667	TRUE	TRUE	83902	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	TRUE
TCTE3	1	11741850_at	TCTE3	6991	GPL13667	TRUE	TRUE	6991	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	TRUE
