gene_symbol	entrez_id_a	entrez_id_n	entrez_agreement
ACTR1B	10120	10120	TRUE
ACTR2	10097	10097	TRUE
ACTR3	10096	10096	TRUE
ACTR3C	653857	653857	TRUE
ACTR5	79913	79913	TRUE
ACTR6	64431	64431	TRUE
ACTR8	93973	93973	TRUE
ACTRT1	139741	139741	TRUE
ACTRT2	140625	140625	TRUE
ACVR1	90	90	TRUE
ACVR1B	91	91	TRUE
ACVR1C	130399	130399	TRUE
ACVR2A	92	92	TRUE
ACVR2B	93	93	TRUE
ACVRL1	94	94	TRUE
ACY1	95	95	TRUE
ACY3	91703	91703	TRUE
ACYP1	97	97	TRUE
ACYP2	98	98	TRUE
ADA	100	100	TRUE
ADAD1	132612	132612	TRUE
ADAD2	161931	161931	TRUE
ADAL	161823	161823	TRUE
ADAM10	102	102	TRUE
ADAM11	4185	4185	TRUE
ADAM12	8038	8038	TRUE
ADAM15	8751	8751	TRUE
ADAM17	6868	6868	TRUE
ADAM18	8749	8749	TRUE
ADAM19	8728	8728	TRUE
ADAM2	2515	2515	TRUE
ADAM20	8748	8748	TRUE
ADAM21	8747	8747	TRUE
ADAM22	53616	53616	TRUE
ADAM23	8745	8745	TRUE
ADAM28	10863	10863	TRUE
ADAM29	11086	11086	TRUE
ADAM30	11085	11085	TRUE
ADAM32	203102	203102	TRUE
ADAM33	80332	80332	TRUE
ADAM3A	1587	1587	TRUE
ADAM7	8756	8756	TRUE
ADAM8	101	101	TRUE
ADAM9	8754	8754	TRUE
ADAMDEC1	27299	27299	TRUE
ADAMTS1	9510	9510	TRUE
ADAMTS10	81794	81794	TRUE
ADAMTS12	81792	81792	TRUE
ADAMTS13	11093	11093	TRUE
ADAMTS14	140766	140766	TRUE
ADAMTS15	170689	170689	TRUE
ADAMTS16	170690	170690	TRUE
ADAMTS17	170691	170691	TRUE
ADAMTS18	170692	170692	TRUE
ADAMTS19	171019	171019	TRUE
ADAMTS2	9509	9509	TRUE
ADAMTS20	80070	80070	TRUE
ADAMTS3	9508	9508	TRUE
ADAMTS4	9507	9507	TRUE
ADAMTS5	11096	11096	TRUE
ADAMTS6	11174	11174	TRUE
ADAMTS7	11173	11173	TRUE
ADAMTS8	11095	11095	TRUE
ADAMTS9	56999	56999	TRUE
ADAMTSL1	92949	92949	TRUE
ADAMTSL2	9719	9719	TRUE
ADAMTSL3	57188	57188	TRUE
ADAMTSL4	54507	54507	TRUE
ADAMTSL5	339366	339366	TRUE
ADAP1	11033	11033	TRUE
ADAP2	55803	55803	TRUE
ADAR	103	103	TRUE
ADARB1	104	104	TRUE
ADARB2	105	105	TRUE
ADAT1	23536	23536	TRUE
ADAT2	134637	134637	TRUE
ADAT3	113179	113179	TRUE
ADCK1	57143	57143	TRUE
ADCK2	90956	90956	TRUE
ADCK4	79934	79934	TRUE
ADCK5	203054	203054	TRUE
ADCY1	107	107	TRUE
ADCY10	55811	55811	TRUE
ADCY2	108	108	TRUE
ADCY3	109	109	TRUE
ADCY4	196883	196883	TRUE
ADCY5	111	111	TRUE
ADCY6	112	112	TRUE
ADCY7	113	113	TRUE
ADCY8	114	114	TRUE
ADCY9	115	115	TRUE
ADCYAP1	116	116	TRUE
ADCYAP1R1	117	117	TRUE
ADD1	118	118	TRUE
ADD2	119	119	TRUE
ADD3	120	120	TRUE
ADH1A	124	124	TRUE
ADH1B	125	125	TRUE
ADH1C	126	126	TRUE
ADH4	127	127	TRUE
ADH5	128	128	TRUE
ADH6	130	130	TRUE
ADH7	131	131	TRUE
ADHFE1	137872	137872	TRUE
ADI1	55256	55256	TRUE
ADIG	149685	149685	TRUE
ADIPOQ	9370	9370	TRUE
ADIPOR1	51094	51094	TRUE
ADIPOR2	79602	79602	TRUE
ADK	132	132	TRUE
ADM	133	133	TRUE
ADM2	79924	79924	TRUE
ADNP	23394	23394	TRUE
ADNP2	22850	22850	TRUE
ADO	84890	84890	TRUE
ADORA1	134	134	TRUE
ADORA2B	136	136	TRUE
ADORA3	140	140	TRUE
ADPGK	83440	83440	TRUE
ADPRH	141	141	TRUE
ADPRHL1	113622	113622	TRUE
ADPRHL2	54936	54936	TRUE
ADRA1A	148	148	TRUE
ADRA1B	147	147	TRUE
ADRA1D	146	146	TRUE
ADRA2A	150	150	TRUE
ADRA2B	151	151	TRUE
ADRA2C	152	152	TRUE
ADRB1	153	153	TRUE
ADRB2	154	154	TRUE
ADRB3	155	155	TRUE
ADRBK1	156	156	TRUE
ADRBK2	157	157	TRUE
ADRM1	11047	11047	TRUE
ADSL	158	158	TRUE
ADSS	159	159	TRUE
ADSSL1	122622	122622	TRUE
AEBP1	165	165	TRUE
AEBP2	121536	121536	TRUE
AEN	64782	64782	TRUE
AES	166	166	TRUE
AFAP1	60312	60312	TRUE
AFAP1L1	134265	134265	TRUE
AFAP1L2	84632	84632	TRUE
AFF1	4299	4299	TRUE
AFF2	2334	2334	TRUE
AFF3	3899	3899	TRUE
AFF4	27125	27125	TRUE
AFG3L2	10939	10939	TRUE
AFM	173	173	TRUE
AFMID	125061	125061	TRUE
AFP	174	174	TRUE
AFTPH	54812	54812	TRUE
AGA	175	175	TRUE
AGAP1	116987	116987	TRUE
AGAP11	119385	119385	TRUE
AGAP2	116986	116986	TRUE
AGAP3	116988	116988	TRUE
AGAP5	729092	729092	TRUE
AGBL1	123624	123624	TRUE
AGBL2	79841	79841	TRUE
AGBL3	340351	340351	TRUE
AGBL4	84871	84871	TRUE
AGBL5	60509	60509	TRUE
AGER	177	177	TRUE
AGFG1	3267	3267	TRUE
AGFG2	3268	3268	TRUE
AGGF1	55109	55109	TRUE
AGK	55750	55750	TRUE
AGL	178	178	TRUE
AGMAT	79814	79814	TRUE
AGPAT1	10554	10554	TRUE
AGPAT2	10555	10555	TRUE
AGPAT3	56894	56894	TRUE
AGPAT4	56895	56895	TRUE
AGPAT5	55326	55326	TRUE
AGPS	8540	8540	TRUE
AGR2	10551	10551	TRUE
AGR3	155465	155465	TRUE
AGRN	375790	375790	TRUE
AGRP	181	181	TRUE
AGT	183	183	TRUE
AGTPBP1	23287	23287	TRUE
AGTR1	185	185	TRUE
AGTR2	186	186	TRUE
AGTRAP	57085	57085	TRUE
AGXT	189	189	TRUE
AGXT2	64902	64902	TRUE
AHCTF1	25909	25909	TRUE
AHCY	191	191	TRUE
AHCYL1	10768	10768	TRUE
AHCYL2	23382	23382	TRUE
AHDC1	27245	27245	TRUE
AHI1	54806	54806	TRUE
AHNAK	79026	79026	TRUE
AHNAK2	113146	113146	TRUE
AHR	196	196	TRUE
AHRR	57491	57491	TRUE
AHSA1	10598	10598	TRUE
AHSA2	130872	130872	TRUE
AHSG	197	197	TRUE
AHSP	51327	51327	TRUE
AICDA	57379	57379	TRUE
AIDA	64853	64853	TRUE
AIF1	199	199	TRUE
AIF1L	83543	83543	TRUE
AIFM1	9131	9131	TRUE
AIFM2	84883	84883	TRUE
AIFM3	150209	150209	TRUE
AIG1	51390	51390	TRUE
AIM1	202	202	TRUE
AIM1L	55057	55057	TRUE
AIM2	9447	9447	TRUE
AIMP1	9255	9255	TRUE
AIMP2	7965	7965	TRUE
AIP	9049	9049	TRUE
AIPL1	23746	23746	TRUE
AIRE	326	326	TRUE
AJAP1	55966	55966	TRUE
AK1	203	203	TRUE
AK2	204	204	TRUE
AK3	50808	50808	TRUE
AK5	26289	26289	TRUE
AK7	122481	122481	TRUE
AKAP1	8165	8165	TRUE
AKAP10	11216	11216	TRUE
AKAP11	11215	11215	TRUE
AKAP12	9590	9590	TRUE
AKAP13	11214	11214	TRUE
AKAP14	158798	158798	TRUE
AKAP3	10566	10566	TRUE
AKAP4	8852	8852	TRUE
AKAP5	9495	9495	TRUE
AKAP6	9472	9472	TRUE
AKAP7	9465	9465	TRUE
AKAP8	10270	10270	TRUE
AKAP8L	26993	26993	TRUE
AKAP9	10142	10142	TRUE
AKIRIN1	79647	79647	TRUE
AKIRIN2	55122	55122	TRUE
AKNA	80709	80709	TRUE
AKNAD1	254268	254268	TRUE
AKR1A1	10327	10327	TRUE
AKR1B1	231	231	TRUE
AKR1B10	57016	57016	TRUE
AKR1B15	441282	441282	TRUE
AKR1C1	1645	1645	TRUE
AKR1C2	1646	1646	TRUE
AKR1C3	8644	8644	TRUE
AKR1C4	1109	1109	TRUE
AKR1D1	6718	6718	TRUE
AKR1E2	83592	83592	TRUE
AKR7A2	8574	8574	TRUE
AKR7A3	22977	22977	TRUE
AKR7L	246181	246181	TRUE
AKT1	207	207	TRUE
AKT1S1	84335	84335	TRUE
AKT2	208	208	TRUE
AKT3	10000	10000	TRUE
AKTIP	64400	64400	TRUE
ALAD	210	210	TRUE
ALAS1	211	211	TRUE
ALAS2	212	212	TRUE
ALB	213	213	TRUE
ALCAM	214	214	TRUE
ALDH16A1	126133	126133	TRUE
ALDH18A1	5832	5832	TRUE
ALDH1A1	216	216	TRUE
ALDH1A2	8854	8854	TRUE
ALDH1A3	220	220	TRUE
ALDH1B1	219	219	TRUE
ALDH1L1	10840	10840	TRUE
ALDH1L2	160428	160428	TRUE
ALDH2	217	217	TRUE
ALDH3A1	218	218	TRUE
ALDH3A2	224	224	TRUE
ALDH3B1	221	221	TRUE
ALDH3B2	222	222	TRUE
ALDH4A1	8659	8659	TRUE
ALDH5A1	7915	7915	TRUE
ALDH6A1	4329	4329	TRUE
ALDH7A1	501	501	TRUE
ALDH8A1	64577	64577	TRUE
ALDH9A1	223	223	TRUE
ALDOA	226	226	TRUE
ALDOAP2	228	228	TRUE
ALDOB	229	229	TRUE
ALDOC	230	230	TRUE
ALG1	56052	56052	TRUE
ALG10B	144245	144245	TRUE
ALG12	79087	79087	TRUE
ALG13	79868	79868	TRUE
ALG14	199857	199857	TRUE
ALG1L	200810	200810	TRUE
ALG1L2	644974	644974	TRUE
ALG2	85365	85365	TRUE
ALG3	10195	10195	TRUE
ALG5	29880	29880	TRUE
ALG6	29929	29929	TRUE
ALG8	79053	79053	TRUE
ALG9	79796	79796	TRUE
ALK	238	238	TRUE
ALKBH1	8846	8846	TRUE
ALKBH2	121642	121642	TRUE
ALKBH3	221120	221120	TRUE
ALKBH4	54784	54784	TRUE
ALKBH5	54890	54890	TRUE
ALKBH6	84964	84964	TRUE
ALKBH7	84266	84266	TRUE
ALKBH8	91801	91801	TRUE
ALLC	55821	55821	TRUE
ALMS1	7840	7840	TRUE
ALOX12	239	239	TRUE
ALOX12B	242	242	TRUE
ALOX15	246	246	TRUE
ALOX15B	247	247	TRUE
ALOX5	240	240	TRUE
ALOX5AP	241	241	TRUE
ALOXE3	59344	59344	TRUE
ALPI	248	248	TRUE
ALPK1	80216	80216	TRUE
ALPK2	115701	115701	TRUE
ALPK3	57538	57538	TRUE
ALPL	249	249	TRUE
ALPP	250	250	TRUE
ALPPL2	251	251	TRUE
ALS2	57679	57679	TRUE
ALS2CL	259173	259173	TRUE
ALS2CR11	151254	151254	TRUE
ALS2CR12	130540	130540	TRUE
ALX1	8092	8092	TRUE
ALX3	257	257	TRUE
ALX4	60529	60529	TRUE
AMACR	23600	23600	TRUE
AMBN	258	258	TRUE
AMBP	259	259	TRUE
AMBRA1	55626	55626	TRUE
AMD1	262	262	TRUE
AMDHD1	144193	144193	TRUE
AMDHD2	51005	51005	TRUE
AMELX	265	265	TRUE
AMELY	266	266	TRUE
AMFR	267	267	TRUE
AMH	268	268	TRUE
AMHR2	269	269	TRUE
AMICA1	120425	120425	TRUE
AMIGO1	57463	57463	TRUE
AMIGO2	347902	347902	TRUE
AMMECR1	9949	9949	TRUE
AMMECR1L	83607	83607	TRUE
AMN	81693	81693	TRUE
AMN1	196394	196394	TRUE
AMOT	154796	154796	TRUE
AMOTL1	154810	154810	TRUE
AMOTL2	51421	51421	TRUE
AMPD1	270	270	TRUE
AMPD2	271	271	TRUE
AMPD3	272	272	TRUE
AMPH	273	273	TRUE
AMT	275	275	TRUE
AMTN	401138	401138	TRUE
AMY2B	280	280	TRUE
AMZ1	155185	155185	TRUE
AMZ2	51321	51321	TRUE
ANAPC1	64682	64682	TRUE
ANAPC10	10393	10393	TRUE
ANAPC11	51529	51529	TRUE
ANAPC13	25847	25847	TRUE
ANAPC16	119504	119504	TRUE
ANAPC2	29882	29882	TRUE
ANAPC4	29945	29945	TRUE
ANAPC5	51433	51433	TRUE
ANAPC7	51434	51434	TRUE
ANG	283	283	TRUE
ANGEL1	23357	23357	TRUE
ANGEL2	90806	90806	TRUE
ANGPT1	284	284	TRUE
ANGPT2	285	285	TRUE
ANGPT4	51378	51378	TRUE
ANGPTL1	9068	9068	TRUE
